Vertebra,Label,Volume (voxels)_Before,Connected Components_Before,Surface Triangles_Before,Compactness_Before,Volume (voxels)_After,Connected Components_After,Surface Triangles_After,Compactness_After,Component_Improvement,Compactness_Improvement
C1,1,17191,6,20310,168.36962506575765,15847,1,11818,138.44139197186234,5,29.9282330938953
C2,2,17508,4,19004,149.6342443082771,16339,1,11000,120.5834089563768,3,29.05083535190029
C3,3,17096,2,18504,147.23257934358148,15857,1,10748,120.0041123755938,1,27.22846696798767
C4,4,13911,1,15792,142.65840116133703,12737,1,9010,114.65734942834604,0,28.001051732990987
C5,5,13250,2,15290,142.69059530789002,12182,1,9002,119.71342543426432,1,22.977169873625698
C6,6,12645,3,14862,143.2837871151931,11658,1,8732,119.53332442608296,2,23.750462689110137
C7,7,11168,5,13192,135.6721035606342,10248,1,7470,107.5795214649391,4,28.092582095695107
T1,8,11363,1,14252,149.73409906772517,10338,1,8200,122.66834802905089,0,27.06575103867428
T2,9,9299,1,12226,145.37520477042358,8296,1,9828,117.4434980830642,0,27.93170668735938
T3,10,8906,2,11668,141.51808393806206,7864,1,9184,111.9191254219016,1,29.598958516160465
T4,11,8077,2,11132,145.41516941752857,7144,1,8984,119.19640825294279,1,26.218761164585786
T5,12,7539,2,10744,147.71862489695474,6564,1,8640,122.34945561693631,1,25.369169280018426
T6,13,7041,3,10856,160.64618174686925,6023,1,8384,127.45710247345768,2,33.189079273411565
T7,14,6489,1,10002,154.1531846200493,5643,1,8060,128.23084745061516,0,25.922337169434144
T8,15,6035,1,9692,158.10399130979164,5187,1,7708,130.46568864733413,0,27.638302662457505
T9,16,6050,1,9866,161.97809688301982,5210,1,7668,128.87997198563727,0,33.09812489738255
T10,17,6372,3,9596,147.52295118204162,5534,1,7880,126.40090151560283,2,21.122049666438798
T11,18,5258,2,9186,167.44380325878296,4565,1,6940,126.64802563998265,1,40.795777618800315
T12,19,3387,3,7080,175.88738410767692,2684,1,4948,129.67672234694678,2,46.21066176073015
L1,20,3137,2,6118,152.54560169801223,2471,1,4456,120.37741911687512,1,32.16818258113712
L2,21,3575,6,6558,148.55287878876715,2954,1,4768,111.45354307350264,5,37.0993357152645
L3,22,3175,3,6062,148.6552215204275,2504,1,4352,114.65658583187258,2,33.99863568855491
L4,23,5351,9,8170,138.00605257986075,4677,1,6368,108.65187171424392,8,29.354180865616826
L5,24,4412,7,8936,191.46052100777894,3360,1,5728,129.02243577858994,6,62.438085229189
